Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Schliep, Erin M; Wikle, Christopher K; Daw, Ranadeep; ",Correcting spatial Gaussian process parameter and prediction variance estimation under informative sampling,arXiv preprint arXiv:2108.12354,,,,2021,
"Daw, Ranadeep; Simpson, Matthew; Wikle, Christopher K; Holan, Scott H; Bradley, Jonathan R; ",An overview of univariate and multivariate karhunen loève expansions in statistics,Journal of the Indian Society for Probability and Statistics,23,2,285-326,2022,Springer India New Delhi
"Daw, Ranadeep; He, Zhuoqiong; ",Deep Neural Network in Cusp Catastrophe Model,arXiv preprint arXiv:2004.02359,,,,2020,
"Chakraborty, Sounak; Menifield, Charles E; Daw, Ranadeep; ","Impact of stand your ground, background checks and conceal and carry laws on homicide rates in the US",Journal of Public Management & Social Policy,29,1,6,2022,
"Yeasmin, Farhana; Daw, Ranadeep; Chakraborty, Bratati; Gupta, Arindam; Bhattacharya, Sabyasachi; Chakraborty, Biman; ",A New Growth Rate Measure in Identifying Extended Gompertz Growth Curve and Development of Goodness-of-fit Test,Calcutta Statistical Association Bulletin,73,2,127-145,2021,"SAGE Publications Sage India: New Delhi, India"
"Daw, Ranadeep; Wikle, Christopher K; ",REDS: Random ensemble deep spatial prediction,Environmetrics,34,1,e2780,2023,
"Daw, Ranadeep; Wikle, Christopher K; ",Supervised spatial regionalization using the Karhunen-Loève expansion and minimum spanning trees,Journal of Data Science,20,4,566-584,2022,"School of Statistics, Renmin University of China"
"Schliep, Erin M; Wikle, Christopher K; Daw, Ranadeep; ",Correcting for informative sampling in spatial covariance estimation and kriging predictions,Journal of Geographical Systems,25,4,587-613,2023,Springer Berlin Heidelberg Berlin/Heidelberg
"Daw, Ranadeep; ",Methodologies for low-rank analysis and regionalization for multi-scale spatial datasets,,,,,2023,University of Missouri--Columbia
"Daw, Ranadeep; Wikle, Christopher K; Bradley, Jonathan R; Holan, Scott H; ",A Criterion for Multivariate Regionalization of Spatial Data,arXiv preprint arXiv:2312.12287,,,,2023,
